Calendario de Festivos hábiles para a práctica comercial,,
Descrición , Data,Ámbito
Festivo hábil para a práctica comercial,07/01/2024,Autonómico
Festivo hábil para a práctica comercial,28/03/2024,Autonómico
Festivo hábil para a práctica comercial,30/06/2024,Autonómico
Festivo hábil para a práctica comercial,12/10/2024,Autonómico
Festivo hábil para a práctica comercial,01/12/2024,Autonómico
Festivo hábil para a práctica comercial,06/12/2024,Autonómico
Festivo hábil para a práctica comercial,08/12/2024,Autonómico
Festivo hábil para a práctica comercial,15/12/2024,Autonómico
Festivo hábil para a práctica comercial,22/12/2024,Autonómico
Festivo hábil para a práctica comercial,29/12/2024,Autonómico
